OTUs	"SRR17152824"	"SRR17152825"	"SRR17152826"	"SRR17152827"	"SRR17152828"	"SRR17152829"	"SRR17152830"	"SRR17152831"	"SRR17152832"	"SRR17152833"	"SRR17152834"	"SRR17152835"	"SRR17152836"	"SRR17152837"	"SRR17152838"	"SRR17152839"	"SRR17152840"	"SRR17152841"	"SRR17152842"	"SRR17152843"	"SRR17152844"	"SRR17152845"	"SRR17152846"	"SRR17152847"	"SRR17152848"	"SRR17152849"	"SRR17152850"	"SRR17152851"	"SRR17152852"	"SRR17152853"	"SRR17152854"	"SRR17152855"	"SRR17152856"	"SRR17152857"	"SRR17152858"	"SRR17152859"	"SRR17152860"	"SRR17152861"	"SRR17152862"	"SRR6927699"	"SRR6927700"	"SRR6927701"	"SRR6927702"	"SRR6927703"	"SRR6927704"	"SRR6927705"	"SRR6927706"	"SRR6927707"	"SRR6927708"	"SRR6927709"	"SRR6927710"	"SRR6927711"	"SRR6927712"	"SRR6927713"	"SRR6927714"	"SRR6927715"	"SRR6927716"	"SRR6927717"	"SRR6927718"	"SRR6927719"	"SRR6927720"	"SRR6927721"	"SRR6927722"	"SRR6927723"	"SRR6927724"	"SRR6927725"	"SRR6927726"	"SRR6927727"	"SRR6927728"
"OTU_21"	277	139	82	133	611	27	906	33	243	27	34	12	24	157	18	96	0	327	424	205	1604	0	137	1667	145	1289	648	121	0	954	52	62	35	77	95	359	39	1598	31	338	42	486	123	528	103	285	291	85	710	4360	413	514	644	221	63	679	55	522	411	545	314	202	296	813	474	629	57	306	389
"OTU_22"	212	152	97	166	554	28	1007	48	220	20	33	12	17	85	14	73	0	212	358	236	1747	0	112	807	105	689	747	104	0	1172	72	77	36	66	126	289	39	1401	29	353	41	517	126	496	107	243	317	86	747	4639	433	602	676	272	77	753	54	512	462	613	364	174	277	838	424	616	138	343	402
"OTU_23"	288	172	77	140	671	44	740	28	202	0	38	31	0	87	38	97	34	438	540	274	1864	0	137	1252	136	987	691	147	0	1233	50	71	41	59	117	407	35	1859	16	339	71	459	126	427	93	229	230	88	621	4052	406	470	641	184	68	590	60	447	410	505	287	210	333	700	443	549	0	296	392
"OTU_24"	225	225	90	108	635	49	756	38	142	0	26	35	0	67	46	85	42	324	461	276	1990	0	77	689	73	539	822	174	0	1280	89	71	21	58	131	455	28	1849	26	357	107	452	131	486	91	255	264	102	737	4335	441	520	569	214	68	676	62	484	392	590	365	181	256	724	432	533	0	308	374
"OTU_25"	376	106	103	89	459	21	449	22	126	0	29	0	0	63	14	75	31	341	285	107	1595	0	120	1366	97	902	496	92	0	1095	68	87	69	41	133	252	43	928	31	324	26	530	135	520	93	255	241	101	681	4336	411	545	699	228	85	644	64	473	449	542	307	188	290	738	474	543	0	356	350
"OTU_26"	285	111	95	89	493	20	455	28	98	0	15	0	0	36	31	92	27	239	245	130	1741	0	45	692	47	498	565	89	0	1188	63	68	52	46	135	245	56	850	25	380	33	488	143	498	86	276	267	89	809	4637	509	579	634	269	69	662	72	505	416	597	300	169	322	854	476	609	0	316	378
"OTU_27"	325	92	109	105	481	18	685	66	186	19	31	0	0	160	22	74	16	344	356	152	1703	0	156	1422	85	1086	482	93	0	859	79	66	39	65	150	228	34	1125	16	279	31	452	109	407	76	236	254	94	625	4019	372	461	578	194	62	546	51	426	406	500	293	181	274	705	391	463	0	295	381
"OTU_28"	243	129	125	91	447	38	668	52	166	16	22	0	0	98	23	88	16	280	252	158	1960	0	71	802	45	612	581	75	0	975	99	71	31	58	132	245	23	1052	20	320	34	459	114	478	100	210	244	86	636	4207	358	478	579	239	60	686	68	472	401	535	311	181	283	755	405	534	0	329	361
"OTU_29"	222	188	89	121	512	29	543	27	138	0	30	0	0	33	30	103	0	337	370	181	1547	0	94	1218	98	916	706	150	0	1161	47	88	29	44	103	382	46	1463	21	301	41	412	114	420	91	217	247	75	581	3771	340	446	533	163	62	559	54	417	363	475	269	179	254	706	392	504	0	265	356
"OTU_30"	211	185	99	115	556	41	571	31	98	0	25	0	0	8	35	84	0	258	343	184	2014	0	58	609	77	477	796	104	0	1119	71	78	29	77	92	337	20	1205	20	294	34	428	119	468	91	230	268	76	679	3948	379	442	512	206	72	643	49	451	369	543	312	185	257	695	388	437	0	286	351
